Title,Overall_Rating,Best_Rating,Worst_Rating,No_of_Ratings,Category,Subcategory,Topic,Instructor,Language,SkillsFuture,No_of_Practice_Test,No_of_Articles,No_of_Coding_Exercises,Video_Duration_Hr,No_of_Additional_Resources,Bestseller,Price,Discounted_Price
"Improve Online Meetings - Zoom, Microsoft Teams, Google Meet",5,5,0.5,1,Office Productivity,Other Office Productivity,Video Conferencing,Mike Letterman,English,FALSE,0,0,0,1,0,No,29.98,22
Introduction to Herbalism,4.4,5,0.5,382,Health & Fitness,Nutrition,Herbalism,"Jennifer Hutchison MSc, CCMH",English,FALSE,0,0,0,1.5,2,No,59.98,22
Oxford Diploma : Frail to fit in 50 lectures!,4.8,5,0.5,4,Health & Fitness,Fitness,Muscle Building,Chris Bankes Sivewright,English,FALSE,0,0,0,8.5,1,No,128.98,22
Copywriting That Works!,4.7,5,0.5,4,Marketing,Content Marketing,Copywriting,Ed Stanfield,English,FALSE,0,0,0,1,5,No,55.98,22
Aviation Meteorology: Enroute Weather,5,5,0.5,7,Business,Industry,Aviation,Anzijs Vilcevskis,English,FALSE,0,0,0,1.5,13,No,104.98,22
Find Freelance Copywriting Clients Without Job Boards,4.1,5,0.5,17,Marketing,Marketing Fundamentals,Lead Generation,Alan Sharpe,English,FALSE,0,0,0,3.5,0,No,29.98,22
How To Be Highly Successful A Carpenter,0,0,0,0,Marketing,Branding,Carpentry,Author Dr. Harris,English,FALSE,0,8,0,1,0,No,34.98,22
Patetico - Argentine Tango Solo Choreography Course (solo),0,0,0,0,Health & Fitness,Dance,Tango Dance,Anita Flejter & Hernan Brizuela,English,FALSE,0,0,0,16,0,No,128.98,22
21 Days Guided-Meditation Practice - Mindfulness with PC,0,0,0,0,Health & Fitness,Meditation,Unknown,Prashant Chawla,English,FALSE,0,0,0,4.5,0,No,49.98,22
How to enter the US market?,5,5,0.5,3,Business,Communication,Business Communication,Natalia Bucelnikova,English,FALSE,0,3,0,1,1,No,108.98,22
Good Clinical Practice (GCP),4.2,5,0.5,236,Business,Industry,Good Clinical Practice,SONIC Performance Support - E-Learning Experts,English,FALSE,0,0,0,1.5,6,Yes,40.98,22
Build a spare room studio for rapid video and audio creation,4,5,0.5,92,Marketing,Video & Mobile Marketing,Audio Production,Scott Doel,English,FALSE,0,0,0,0.566666667,0,No,29.98,22
Create and sell ebooks the complete course,5,5,0.5,1,Business,Sales,eBook Creation,Nicolas Forgue,English,FALSE,0,0,0,6.5,0,No,108.98,22
Preparing Customer Marketing Campaign Plan,0,0,0,0,Marketing,Product Marketing,Marketing Plan,Jarod Lee,English,FALSE,0,0,0,0.533333333,4,No,29.98,22
Adobe Photoshop CC 2020: Fun New Features,0,0,0,0,Photography & Video,Photography,Photoshop,Tom Kai,English,FALSE,0,0,0,1,7,No,59.98,22
The Human Voyage: The Life roadmap for those wanting better.,0,0,0,0,Lifestyle,Travel,Empowerment,Coach Hall,English,FALSE,0,3,0,6.5,104,No,128.98,22
Developing an Effective FCPA Compliance Program,4.6,5,0.5,15,Finance & Accounting,Compliance,Accounting,Illumeo Learning,English,FALSE,0,2,0,1,2,No,34.98,22
The Complete WordPress Aliexpress Dropship course,4.4,5,0.5,2067,Business,E-Commerce,Dropshipping,Tim Sharp,English,FALSE,0,3,0,4.5,5,No,148.98,24
Apple Mac Basics - The Complete Course for beginners,4.6,5,0.5,461,Office Productivity,Apple,Mac Basics,Colin Marks,English,FALSE,0,1,0,3,0,Yes,59.98,22
PTSD 2.0 - Post Traumatic Simply Dissolved,5,5,0.5,1,Personal Development,Personal Transformation,Mental Health,Adam Henson,English,FALSE,0,0,0,4,17,No,44.98,22
How To Build A Brand On Social Media!,4.1,5,0.5,952,Marketing,Social Media Marketing,Business Branding,Everett Bowes,English,FALSE,0,0,0,2,8,No,34.98,23
"Ecommerce with WordPress, woo Commerce, Amazon , Alibaba",0,0,0,0,Business,E-Commerce,WordPress for Ecommerce,Ucareer hub,English,FALSE,0,2,0,2,2,No,40.98,22
Master Living Intentionally - For a Fuller Freer Life,5,5,0.5,2,Personal Development,Personal Productivity,Mindset,Martha D Karimi,English,FALSE,0,3,0,0.55,7,No,40.98,22
Personal SEO : Become a Creative Brand Advocate ,5,5,0.5,2,Marketing,Social Media Marketing,SEO,Philip Campbell,English,FALSE,0,0,0,4,0,No,29.98,22
Simplified Approach to DBMS,4.7,5,0.5,118,Development,Database Design & Development,Database Management,Parteek Bhatia,English,FALSE,0,5,0,11.5,0,No,29.98,22
Mastering RTOS: Hands on FreeRTOS and STM32Fx with Debugging,4.6,5,0.5,3335,IT & Software,Hardware,RTOS,FastBit Embedded Brain Academy,English,FALSE,0,8,0,14,10,Yes,49.98,24
High Performance Learning 2.0,4.3,5,0.5,479,Personal Development,Memory & Study Skills,Mindset,Tim Goodenough,English,FALSE,0,20,0,3,3,No,128.98,22
Zoom For Business | How To Grow Your Business With Zoom,3.8,5,0.5,13,Marketing,Video & Mobile Marketing,Webinar,Zoolord Academy,English,FALSE,0,1,0,1,0,No,128.98,22
