Title,Overall_Rating,Best_Rating,Worst_Rating,No_of_Ratings,Category,Subcategory,Topic,Instructor,Language,SkillsFuture,No_of_Practice_Test,No_of_Articles,No_of_Coding_Exercises,Video_Duration_Hr,No_of_Additional_Resources,Bestseller,Price,Discounted_Price
Fashion Drawing Course from Beginner to Advanced,4.9,5,0.5,6,Design,Fashion Design,Unknown,Start Now Fashion,English,FALSE,0,0,0,35,16,No,88.98,88.98
Project Manager's Playbook for Construction - Part 5 of 6,5,5,0.5,3,Business,Project Management,Construction,Matthew Morris,English,FALSE,0,0,0,2.5,0,No,49.98,49.98
C# & Image Processing Masterclass: Make Mobile Games & Apps,3.8,5,0.5,2,Office Productivity,Apple,Image Processing,Mammoth Interactive,English,FALSE,0,4,0,29.5,7,No,128.98,22
Confessions of an ex procrastinator,4.5,5,0.5,1877,Personal Development,Motivation,Procrastination,Gregory Caremans - Brain Academy,English,FALSE,0,2,0,1,2,Yes,108.98,26
"Leadership, Character, Ethics: Building Effective Leaders ",4.8,5,0.5,19,Personal Development,Influence,Ethics,Lead Like Jesus,English,FALSE,0,0,0,1,0,No,29.98,24
ANIMAL REIKI: Animal Reiki Energy Healing Certification!,4.6,5,0.5,18,Lifestyle,Esoteric Practices,Animal Reiki,Learn Online,English,FALSE,0,11,0,3.5,15,No,29.98,22
"The healing power of sound, breath and meditation.",0,0,0,0,Personal Development,Happiness,Meditation,Indiajiva Music,English,FALSE,0,0,0,0.566666667,0,No,29.98,22
Chakras Alignment & Balancing Sound Healing with Pranayama,5,5,0.5,1,Health & Fitness,Meditation,Sound Therapy,Zayra Mo,English,FALSE,0,13,0,4,0,No,128.98,22
Materials and Finishes in Interior Design,4.3,5,0.5,109,Design,Interior Design,Unknown,Joelle Maatouk,English,FALSE,1,6,0,2,8,No,29.98,22
CSS Modern Responsive Web Design Create 5 Different Sites,4.8,5,0.5,3,Design,Web Design,CSS,Laurence Svekis,English,FALSE,0,39,0,7.5,5,No,128.98,22
The Advanced Real Estate Financial Modeling Bootcamp,4.7,5,0.5,743,Business,Real Estate,Real Estate Investing,Justin Kivel,English,FALSE,0,7,0,10,3,No,128.98,22
"Scandinavia & N. Europe, Ultimate Bucket List, Travel Tribe",0,0,0,0,Lifestyle,Travel,Travel Tips,Kelsey Betzelberger,English,FALSE,0,0,0,0.683333333,3,No,59.98,22
Foundation Programmatic Advertising Course 2021,4.6,5,0.5,29,Marketing,Advertising,Programmatic Advertising,Media Lab Academy,English,FALSE,0,0,0,1.5,0,No,29.98,22
Emotional Piano Music Course For Beginners | FL Studio,0,0,0,0,Music,Music Production,Piano Chords,Ahmed El Fettane,English,FALSE,0,0,0,1.5,0,No,40.98,22
A beginners guide to painting your home like a pro,3.7,5,0.5,50,Lifestyle,Home Improvement,Painting,Justin Kolacinski,English,FALSE,0,0,0,0.65,0,No,29.98,22
Facebook Ads Masterclass: The Complete Guide for beginners,5,5,0.5,1,Marketing,Social Media Marketing,Facebook Ads,Matt Relish,English,FALSE,0,2,0,2,2,No,29.98,22
QuickBooks Desktop Pro -Personal Bookkeeping-Accounting,4.8,5,0.5,50,Office Productivity,Other Office Productivity,QuickBooks,Robert (Bob) Steele,English,FALSE,0,11,0,9.5,18,No,128.98,22
The Creative Editing Course: Fundamentals 1,0,0,0,0,Photography & Video,Video Design,Video Editing,Paddy Bird,English,FALSE,0,0,0,2,0,No,29.98,22
Get High-Paying Video Clients!,5,5,0.5,2,Photography & Video,Other Photography & Video,Video Marketing,Michael Stern,English,FALSE,0,0,0,2,0,No,158.98,158.98
Introductory Applied Econometrics,5,5,0.5,9,Finance & Accounting,Economics,Econometrics,Econ Academy,English,FALSE,0,0,0,7,25,No,29.98,29.98
"""Anatomy of Yoga"" 2: Teacher Training Workshop Series",4.8,5,0.5,9,Health & Fitness,Yoga,Unknown,Laura Goellner,English,FALSE,0,0,0,10.5,7,No,128.98,22
A guide to food  nutrition facts label.,4.7,5,0.5,4,Health & Fitness,Nutrition,Unknown,Faiq Ismayilov,English,FALSE,0,0,0,0.566666667,1,No,29.98,22
Online Course Creation Master Promotional Emails Fast & Easy,5,5,0.5,6,Teaching & Academics,Online Education,Online Course Creation,"John Colley MBA, MA(Cantab)",English,FALSE,0,1,0,2.5,47,No,29.98,22
Camera Presentation Skills,0,0,0,0,Business,Communication,Presentation Skills,Nigel Collin,English,FALSE,0,0,0,1,0,No,29.98,22
Internationally Accredited Diploma in Health & Wellness,4.5,5,0.5,464,Health & Fitness,General Health,Health,Akash Sehrawat,English,FALSE,1,6,0,3,2,No,158.98,27
Manga Module 5 Inspiration of the Character,5,5,0.5,1,Teaching & Academics,Online Education,Manga,Aso College Group (Japan) Anime and Manga Course,English,FALSE,0,0,0,0.733333333,0,No,29.98,29.98
The Amazon FBA Private Label Masterclass,4.5,5,0.5,976,Business,E-Commerce,Amazon FBA,Robin & Jesper,English,FALSE,0,4,0,14,43,No,128.98,22
How to write sales page for your info product (copywriting),4.8,5,0.5,19,Marketing,Other Marketing,Copywriting,Heba Mahdy,English,FALSE,0,0,0,1,2,No,128.98,22
Continuous Improvement Culture Change - Team Leader Skills 4,5,5,0.5,2,Business,Management,Management Skills,Mark Timberlake,English,FALSE,0,1,0,1.5,4,No,59.98,22
3 Pros 1 Goal: To Help You Write Better Songs,4.6,5,0.5,3,Music,Music Fundamentals,Songwriting,Colin Odonohoe,English,FALSE,0,4,0,2,37,No,108.98,22
Learn To Master Interior Design,5,5,0.5,1,Design,Interior Design,Unknown,Hayley jayne,English,FALSE,0,5,0,0.5,0,No,29.98,22
CompTIA Network+ (N10-007) -Practice tests 2021,5,5,0.5,1,IT & Software,Network & Security,CompTIA Network+,International IT Exam College,English,FALSE,2,0,0,0,0,No,98.98,22
Public speaking: Practical strategies for effective speech,0,0,0,0,Business,Communication,Public Speaking,Lazar Bulatovic,English,FALSE,0,0,0,2.5,5,No,29.98,22
Productivity Masterclass for Busy Corporate Professionals,5,5,0.5,4,Personal Development,Personal Productivity,Unknown,Katherine Ann Byam,English,FALSE,0,0,0,1,13,No,29.98,22
Facebook Ads & Facebook Marketing - Beginner to Advanced,4.7,5,0.5,6,Marketing,Product Marketing,Facebook Ads,"JRDacademy MSc., Ing. Jean R.D",English,FALSE,0,4,0,0.55,4,No,29.98,29.98
CBT Cognitive Behavior Therapy Life Coaching Certification,4.4,5,0.5,2015,Personal Development,Happiness,CBT,Patrick Howell,English,FALSE,0,9,0,3.5,46,No,138.98,24
"JUnit 5, Mockito, PowerMock, TDD, BDD & ATTD",4.1,5,0.5,86,Development,Software Testing,Unknown,Andrii Piatakha,English,FALSE,0,0,0,4,0,No,59.98,22
ESL from Scratch Course: Beginner to Intermediate,5,5,0.5,1,Teaching & Academics,Language Learning,English Grammar,Oscar Acebo Macias,English,FALSE,0,0,0,3,0,No,29.98,22
"Creative Writing - Get Writing, Keep Writing",4.5,5,0.5,714,Personal Development,Creativity,Creative Writing,Tracy Baines,English,FALSE,0,0,0,1,7,No,78.98,22
Software Testing: Reporting Bugs Like a Pro Using Bugzilla,4.7,5,0.5,8,Development,Software Testing,Bugzilla,Dusan Kovacevic,English,FALSE,0,0,0,1,0,No,44.98,22
Master Excel Power Query Beginner to Advanced (including M),4.7,5,0.5,4677,Office Productivity,Microsoft,Power Query,Leila Gharani,English,FALSE,0,33,0,16.5,3,Yes,128.98,22
Go: The Complete Developer's Guide (Golang),4.6,5,0.5,19886,Development,Programming Languages,Go (programming language),Stephen Grider,English,TRUE,0,5,0,9,0,Yes,94.98,22
Achieve Desired Results in Exams,5,5,0.5,1,Teaching & Academics,Other Teaching & Academics,Test Taking Skills,Karan Veer Singh,English,FALSE,0,0,0,1.5,7,No,29.98,22
Indie Developer Playbook: Creating 2D Games and Assets,5,5,0.5,3,Development,Game Development,Game Development Fundamentals,John Bura,English,FALSE,0,54,0,110,48,No,128.98,22
Overcoming Obstacles,0,0,0,0,Personal Development,Motivation,Unknown,Joseph Gerald Trevors,English,FALSE,0,0,0,8,92,No,128.98,22
Ethereum - Hands-on Blockchain Experience,4.8,5,0.5,5,Finance & Accounting,Cryptocurrency & Blockchain,Ethereum,Prof. Dr. Markus Weinberger,English,FALSE,0,1,0,2,11,No,59.98,22
Artist Development Toolkit Course,0,0,0,0,Music,Other Music,Music Business,Andy Kettle,English,FALSE,0,4,0,2,7,No,108.98,22
Bible: 1 Timothy - 7 Lessons We Can Learn For Today!,5,5,0.5,1,Teaching & Academics,Humanities,The Bible,Boomy Tokan,English,FALSE,0,0,0,1.5,0,No,49.98,22
Natural Skincare : How to make natural Bath & Body Products,0,0,0,0,Lifestyle,Beauty & Makeup,Skincare,Jewaria Tanweir,English,FALSE,0,8,0,0.5,0,No,88.98,22
Telephone Confidence: Be Super Confident on the Telephone!,4.4,5,0.5,1286,Personal Development,Self Esteem & Confidence,Cold Calling,Nader Nadernejad,English,FALSE,0,0,0,0.716666667,0,No,128.98,22
Kinesio Taping For Massage Therapists Certificate Course,4.7,5,0.5,642,Health & Fitness,General Health,Massage,Mark Perren-Jones,English,FALSE,0,0,0,3,6,No,138.98,24
Designing MicroLearning for the Evolving flow of Work,4.7,5,0.5,5,Business,Human Resources,Instructional Design,Aparna Gupta,English,FALSE,0,0,0,1.5,13,No,59.98,22
Copywriting: How To Be A Crazy Good Copywriter,3.7,5,0.5,544,Marketing,Content Marketing,Copywriting,Derek Franklin,English,FALSE,0,1,0,3,1,No,108.98,22
Articulate Storyline Techniques for Beginners,5,5,0.5,5,Development,Software Development Tools,Articulate Storyline,Mahesh Umakanth Naidu,English,FALSE,0,0,0,0.7,1,No,29.98,22
Kotlin - Project Based Learning,5,5,0.5,1,Development,Mobile Development,Kotlin,Sheshadhree Shankar,English,FALSE,0,0,0,9.5,0,No,59.98,22
English Vocabulary Launch: Upgrade your speaking,4.7,5,0.5,5007,Teaching & Academics,Language Learning,English Vocabulary,Anthony Kelleher,English,TRUE,0,1,0,7,60,No,49.98,22
Forticlient EMS Complete Course - Endpoint Management Server,5,5,0.5,6,IT & Software,Network & Security,Endpoint Management,Tariq Abosallout,English,FALSE,0,0,0,5,2,No,59.98,22
TOEFL iBT (26+) Complete Preparation Course!,4.4,5,0.5,3328,Teaching & Academics,Test Prep,TOEFL,"Keino Campbell, Esq.",English,FALSE,0,9,0,48,90,Yes,68.98,24
Introduction to Child Psychology - ACCREDITED CERTIFICATE,4.5,5,0.5,1605,Teaching & Academics,Social Science,Child Psychology,"Elmira Strange, MPhil, Dip",English,FALSE,0,1,0,2,6,Yes,128.98,22
Become a Master Conductor - Leading Musicians Made Simple,4.6,5,0.5,258,Music,Music Techniques,Music Conducting,MusicProfessor Online Music Lessons,English,FALSE,0,0,0,2,0,Yes,59.98,22
Make Money on KDP & Learn to Design World Class Book Covers!,0,0,0,0,Design,Graphic Design & Illustration,Design Theory,Ruan Human,English,FALSE,0,0,0,3,17,No,128.98,22
Crucial Concepts in Dog Behavior & Training,4.4,5,0.5,1074,Lifestyle,Pet Care & Training,Dog Training,Ian Dunbar,English,FALSE,0,2,0,5.5,0,No,108.98,26
Wedding Guide: Expert Planning Tips for Your Wedding Day,4.6,5,0.5,80,Lifestyle,Other Lifestyle,Wedding Planning,Life Progression Project,English,FALSE,0,1,0,2.5,18,No,78.98,23
Public Relations Fundamentals Masterclass 2020 Course,4.2,5,0.5,54,Marketing,Public Relations,Unknown,David Swinfen,English,FALSE,0,0,0,2,10,No,59.98,22
Analytic Trigonometry: Inside of the Classroom,5,5,0.5,1,Teaching & Academics,Math,Trigonometry,Brian McLogan,English,FALSE,0,0,0,4.5,0,No,40.98,22
Pharmacy Technician Certification Board,0,0,0,0,Health & Fitness,Safety & First Aid,PTCB Pharmacy Technician Certification,Hubab Ikram,English,FALSE,2,0,0,0,0,No,29.98,22
The fit club - 3D bodyweight and weight training exercises,5,5,0.5,2,Health & Fitness,Fitness,Unknown,Damjan Linic,English,FALSE,0,14,0,3,1,No,108.98,22
The Complete Communication Skills Master Class for Life,4.4,5,0.5,13968,Business,Communication,Communication Skills,TJ Walker,English,TRUE,0,3,0,31,5,No,128.98,22
Pro Kicks | Learn Jump Spin Kicks For Martial Arts Tricking,5,5,0.5,1,Health & Fitness,Sports,Martial Arts,Inauen Thomas,English,FALSE,0,2,0,3,0,No,68.98,22
Embedded Wifi Bare-Metal Development From Ground Up™,0,0,0,0,IT & Software,Hardware,Embedded Systems,BHM Engineering Academy,English,FALSE,0,0,0,14,0,No,88.98,22
Truck Dispatch Training for Beginners,4.5,5,0.5,14,Business,Other Business,Trucking,Luchi Aj,English,FALSE,0,0,0,0.55,0,No,44.98,44.98
Git Github Gitkraken: Version Control without Command Line,4.8,5,0.5,300,Development,Software Development Tools,GitHub,Peter Gunardi,English,FALSE,0,3,0,2.5,2,No,40.98,22
Blockchain Technology: A Guide To The Blockchain Ecosystem,4.3,5,0.5,419,IT & Software,Other IT & Software,Blockchain,Ravinder Deol,English,FALSE,0,2,0,1,0,No,29.98,22
Business Strategy Execution: Agile Organization Design,4.5,5,0.5,2082,Business,Business Strategy,Agile,"Lawrence M. Miller, Institute for Leadership Excellence",English,TRUE,0,0,0,11,10,No,128.98,22
Build a WordPress Blog in No Time!,4.9,5,0.5,3,Development,No-Code Development,WordPress,Hasan Aboul Hasan,English,FALSE,0,7,0,2,0,No,29.98,29.98
Complete Vibrato Mastery,4.6,5,0.5,298,Music,Music Techniques,Violin,Laurel Thomsen,English,FALSE,0,0,0,2.5,11,No,59.98,23
Excel for Financial Engineering and Loss Reserving (CM2),4.8,5,0.5,50,Finance & Accounting,Financial Modeling & Analysis,Actuarial Science,Michael Jordan,English,FALSE,0,0,0,3.5,13,No,49.98,22
An introduction to showcalling for Stage Management Students,4.7,5,0.5,78,Teaching & Academics,Other Teaching & Academics,Event Planning,Kate Salberg,English,FALSE,0,0,0,2,29,No,59.98,22
The Complete Basic Electricity & Electronics Course,4,5,0.5,1577,IT & Software,Hardware,Electronics,Fabrizio Guerrieri,English,FALSE,0,0,0,6.5,0,No,108.98,22
How to Hire 'A' Players,5,5,0.5,1,Business,Business Strategy,Hiring,Trevor Throness,English,FALSE,0,3,0,1.5,3,No,128.98,22
SEO 2021:search engine optimization for newbies,5,5,0.5,1,Marketing,Search Engine Optimization,SEO,Tapishi Levis Tangunung,English,FALSE,0,2,0,1.5,0,No,34.98,22
How To Be Successful As A Consultant,0,0,0,0,Personal Development,Career Development,Unknown,Author Dr. Harris,English,FALSE,0,8,0,1,0,No,34.98,22
SQL for Data Analysis: Beginner MySQL Business Intelligence,4.7,5,0.5,4101,Development,Database Design & Development,MySQL,Maven Analytics,English,FALSE,0,4,0,4.5,6,Yes,128.98,22
Core Spatial Data Analysis: Introductory GIS with R and QGIS,4.4,5,0.5,1553,Teaching & Academics,Math,GIS,Minerva Singh,English,FALSE,0,1,0,2.5,4,Yes,138.98,24
Minute Meditations for the Soul,5,5,0.5,2,Health & Fitness,Meditation,Unknown,Teresa Trower,English,FALSE,0,0,0,2,0,No,44.98,22
A weekend in Warsaw,5,5,0.5,4,Lifestyle,Travel,Travel Tips,Anna Kozioł,English,FALSE,0,1,0,1.5,7,No,29.98,22
Niche Website Elementor WordPress Website blog tutorials,4.6,5,0.5,20,Design,Web Design,Niche Website,Muhammad Ismail,English,FALSE,0,0,0,1.5,0,No,55.98,22
The Foundations of Singing - What every singer should know,4.4,5,0.5,66,Music,Vocal,Singing,Georgina Hill-Brown,English,FALSE,0,2,0,3,15,No,128.98,22
Shift your mindset,0,0,0,0,Personal Development,Self Esteem & Confidence,Personal Development,Rehab Ramzy,English,FALSE,0,1,0,0.583333333,0,No,128.98,22
Nautical Rules of the Road (COLREGS) for Coast Guard Exams,5,5,0.5,3,Teaching & Academics,Test Prep,Marine Navigation,Christopher D. Nolan,English,FALSE,0,4,0,6,58,No,128.98,22
How To Become An Outstanding Solution Architect,4.3,5,0.5,3883,Development,Software Engineering,Software Architecture,Mark Farragher,English,FALSE,0,36,0,7,1,Yes,128.98,22
Level Design Master Class: All in One Complete Course,4.3,5,0.5,648,Design,Game Design,Level Design,Emilio Padulo,English,FALSE,0,15,0,19.5,22,Yes,128.98,22
Building a Prospect Pipeline (TM) for RV Sales Professionals,4.7,5,0.5,10,Marketing,Product Marketing,Lead Generation,D. Scott Smith,English,FALSE,0,0,0,1.5,2,No,29.98,22
Crystal Healing Certificate Course - Energy Healing Stones,4.8,5,0.5,2005,Lifestyle,Esoteric Practices,Crystal Energy,Melissa Crowhurst,English,FALSE,0,33,0,1,0,No,118.98,26
Cubase Midi Matters Volume 1,4.8,5,0.5,2,Music,Music Software,Cubase,MUSICAL NOTES,English,FALSE,0,0,0,2,0,No,29.98,22
Adobe InDesign CC Complete Masterclass: Learn Adobe InDesign,4.5,5,0.5,1073,Design,Design Tools,InDesign,"Chad Neuman, Ph.D.",English,TRUE,0,4,0,13,5,No,128.98,22
Make Your Own Raw Healthy Chocolate,5,5,0.5,2,Health & Fitness,Nutrition,Dessert,Silvia Revenco,English,FALSE,0,1,0,1,1,No,29.98,22
AWS Certified Solutions Architect Associate | Practice Exams,4.7,5,0.5,10,Development,No-Code Development,Amazon AWS,Bangarunaidu Raghumanda,English,FALSE,6,0,0,0,0,No,29.98,22
Informatica Tutorial: Beginner to Expert Level,4.3,5,0.5,5848,Development,Software Development Tools,Informatica PowerCenter,Sid Inf,English,FALSE,0,0,0,35,17,Yes,128.98,22
At Home with Birds,5,5,0.5,4,Health & Fitness,Mental Health,Gardening,Andrés Jiménez Monge,English,FALSE,0,0,0,1.5,8,No,40.98,40.98
The Complete Crowdfunding Course for Kickstarter & Indiegogo,4.8,5,0.5,1221,Business,Entrepreneurship,Crowdfunding,Dr. Angela Yu,English,FALSE,0,1,0,4,0,Yes,128.98,22
5. Mindfulness Practitioner Certificate Accredited [5 of 9],4.6,5,0.5,331,Personal Development,Happiness,Mindfulness,Braco Pobric,English,FALSE,0,4,0,2,28,No,128.98,22
Apple Store: How to pick the right gift (2015 edition),5,5,0.5,2,Lifestyle,Other Lifestyle,Mac Basics,Markus Mueller,English,FALSE,0,0,0,1,1,No,29.98,22
The Art of Singing,4.4,5,0.5,25,Music,Vocal,Singing,Gemma Louise Marinus,English,FALSE,0,0,0,3.5,15,No,98.98,22
"Ten Day, Ten Minute a Day Meditation Journey",4,5,0.5,1,Health & Fitness,Meditation,Unknown,Stacie Dooreck,English,FALSE,0,2,0,3.5,8,No,29.98,22
"RFPs, Proposals, and Contracts for Web Developers",4.5,5,0.5,82,Business,Business Law,Request for Proposal,Mike Carson,English,FALSE,0,1,0,2,1,No,108.98,22
Woodworking: Make A Beautiful Wooden Box With A Sliding Lid,0,0,0,0,Lifestyle,Arts & Crafts,Woodworking,Peter Alkema,English,FALSE,0,1,0,0.716666667,1,No,40.98,22
Listening Skills - The Ultimate Workplace Soft Skills,4.5,5,0.5,2111,Personal Development,Career Development,Listening Skills,TJ Walker,English,FALSE,0,3,0,29,5,No,158.98,27
1Z0-063 || Oracle Database 12c: Advanced Administration Exam,0,0,0,0,Office Productivity,Oracle,Oracle Certification,Jyoti singh,English,FALSE,3,0,0,0,0,No,44.98,22
Dungeons And Dragons (D&D) become a better player!,4.6,5,0.5,6,Design,Game Design,Gaming,Dan Bronson,English,FALSE,0,0,0,2.5,0,No,34.98,22
CIA part 1 - Question Bank (Syllabus 2021),4.3,5,0.5,31,Finance & Accounting,Finance Cert & Exam Prep,Certified Internal Auditor (CIA),Prep Tests,English,FALSE,5,0,0,0,0,Yes,29.98,29.98
+1000 Questions & Answers PMP EXAM 2021 (New 6th Edition V),5,5,0.5,2,Business,Project Management,PMP,Abdelghany Nasef,English,FALSE,5,0,0,0,0,No,29.98,22
Get your Dream Job in Germany! Course from HR professional,4.9,5,0.5,6,Business,Human Resources,Job Search,Julia Barden,English,FALSE,0,2,0,2.5,6,No,128.98,22
The Bearded Dragon Masterclass,4.9,5,0.5,5,Lifestyle,Pet Care & Training,Pet Care,Ben Dessen,English,FALSE,0,8,0,2.5,0,No,68.98,22
CRISPR/Cas9 Crash Course for Beginners,4.3,5,0.5,453,Teaching & Academics,Science,Gene Editing,Muhammad Naeem,English,FALSE,0,21,0,2.5,10,Yes,59.98,23
Udemy Masters 2016: Online Course Creation - Unofficial,3.2,5,0.5,995,Teaching & Academics,Online Education,Online Course Creation,Phil Ebiner,English,FALSE,0,34,0,22.5,13,No,40.98,24
Seth Godin's Value Creation Master Class,4.4,5,0.5,3411,Business,Entrepreneurship,Business Strategy,Seth Godin,English,FALSE,0,0,0,0.683333333,1,No,94.98,94.98
Basic Dance Moves for Guys - Completely beginner lessons,4.5,5,0.5,684,Personal Development,Self Esteem & Confidence,Dance,Brian Bee,English,FALSE,0,0,0,4,0,Yes,94.98,27
Introduction to Norsat LNBs,4.7,5,0.5,2,IT & Software,Hardware,Telecom,Norsat International,English,FALSE,0,0,0,1,0,No,29.98,22
Corporate and business finance optimization (Excel Solver),4.5,5,0.5,13,Finance & Accounting,Financial Modeling & Analysis,Optimization Problem,Rolf Moes,English,FALSE,0,0,0,2,7,No,78.98,22
Agile PM 402 - Enterprise-level Agile Project Management,4.4,5,0.5,1312,Business,Project Management,Agile,Agile Project Management Academy - Chuck Cobb,English,FALSE,0,4,0,4,41,No,128.98,22
How to Deliver a Monologue,5,5,0.5,1,Teaching & Academics,Online Education,Acting,Lisa Southam,English,FALSE,0,0,0,0.716666667,0,No,59.98,22
How To Get More Done In 3 Hours Than Most Do In 3 Days,3.6,5,0.5,1142,Business,Entrepreneurship,Personal Productivity,James Canzanella,English,FALSE,0,1,0,1,0,No,128.98,22
YouTube Fame - How to Grow a Successful YouTube Channel,3.7,5,0.5,219,Marketing,Video & Mobile Marketing,YouTube Audience Growth,Kris Carroll,English,FALSE,0,13,0,1.5,0,No,108.98,22
Sell More With GoToWebinar,4.9,5,0.5,4,Marketing,Video & Mobile Marketing,Webinar,Jens Belner,English,FALSE,0,4,0,4.5,12,No,29.98,22
Mathematics for Computer Games Development using Unity,4.6,5,0.5,1205,Development,Game Development,Math,Penny de Byl,English,TRUE,0,6,0,15,27,No,29.98,22
Top 10 List for Exceptional Presales,4.2,5,0.5,6,Personal Development,Personal Brand Building,Sales Skills,Mark Pearce,English,FALSE,0,0,0,1,2,No,29.98,22
An Introduction to User-Centered Design,4.2,5,0.5,34,Design,Design Thinking,User Experience Design,"Frank Garofalo, Garofalo UX",English,FALSE,0,0,0,3,5,No,108.98,22
"Editing, Personalizing and Publishing HTML Templates",4.4,5,0.5,2,Business,Media,HTML,"Prof. Jacques Henrique Dias, PhD",English,FALSE,0,0,0,1,0,No,29.98,22
Learning the Joy of Relaxation,5,5,0.5,2,Health & Fitness,Mental Health,Relaxation,Barbara Mitchell,English,FALSE,0,0,0,0.1,0,No,34.98,22
Xero - Mastering Sales in Xero,4.7,5,0.5,9,IT & Software,Other IT & Software,Xero,Marion Thomson,English,FALSE,0,0,0,2.5,2,No,88.98,22
Chi Ball Master (Ki Ball),4.8,5,0.5,23,Lifestyle,Esoteric Practices,Energy Healing,Berardino Nardella,English,FALSE,0,5,0,1,1,No,128.98,22
SAP Business Analytics Essential Training,4.4,5,0.5,497,Office Productivity,SAP,SAP GRC,Fredrick Higgins,English,FALSE,0,2,0,3.5,1,Yes,128.98,22
Handwriting Improvement For Kids,4.4,5,0.5,272,Teaching & Academics,Teacher Training,Handwriting,Monica Fortunato OTR/L,English,FALSE,0,0,0,1.5,16,Yes,94.98,23
Mastering Lightroom Classic,4.7,5,0.5,9,Photography & Video,Digital Photography,Adobe Lightroom,David Harradine,English,FALSE,0,0,0,8,0,No,128.98,22
TikKok Marketing & Monetization Masterclass : From 0 to 1,4,5,0.5,1,Marketing,Social Media Marketing,TikTok Marketing,Shizong Liao,English,FALSE,0,0,0,1,0,No,34.98,22
SEMRush Site Audit + Extended SEMRush Free Trial,5,5,0.5,4,Marketing,Search Engine Optimization,SEMrush,Alex Genadinik,English,FALSE,0,1,0,1,0,No,44.98,22
Complete Sketchup Course 2021,0,0,0,0,Design,Design Tools,SketchUp,mahad ahmed,English,FALSE,0,0,0,12,2,No,29.98,22
Movavi Video Editor Plus: Complete Video Editing Course,5,5,0.5,1,Photography & Video,Video Design,Video Editing,Nash Chitakure,English,FALSE,0,0,0,3.5,0,No,68.98,22
Email Marketing With TikTok: To Get Leads & Sales,0,0,0,0,Marketing,Advertising,Email Marketing,Pawan Dhakal,English,FALSE,0,0,0,2,0,No,40.98,22
How To Make A 5x5 Lace Closure Wig?,0,0,0,0,Lifestyle,Beauty & Makeup,Hair Styling,Ariel Blackwell,English,FALSE,0,0,0,0.5,0,No,34.98,22
Look good with data,0,0,0,0,Lifestyle,Other Lifestyle,Wardrobe Planning,Clare Walsh,English,FALSE,0,0,0,2,7,No,29.98,22
Certified Storytelling English Indian Dance Fitness Yoga,0,0,0,0,Health & Fitness,Dance,English Language,Sarita Wariyer,English,FALSE,0,0,0,2,0,No,44.98,22
Child Psychology (Advanced Level) - ACCREDITED CERTIFICATE,4.4,5,0.5,1775,Teaching & Academics,Humanities,Psychology,"Elmira Strange, MPhil, Dip",English,FALSE,0,1,0,2,7,No,118.98,22
Organic Chemistry basics (+10hours) ( For 12th Std & MCQ),5,5,0.5,4,Teaching & Academics,Science,Organic Chemistry,Ravindra Shinde,English,FALSE,0,0,0,11.5,0,No,29.98,22
Effective Business Communication,5,5,0.5,1,Business,Communication,Business Communication,Tom Eddington,English,FALSE,0,0,0,1,0,No,128.98,22
Learn Recursion!,0,0,0,0,Teaching & Academics,Engineering,Algorithms,ABHILASH RUDRA,English,FALSE,0,0,0,3.5,0,No,29.98,22
Sports injury rehabilitation,4.1,5,0.5,39,Health & Fitness,Safety & First Aid,Injury Recovery,Robyn Bagley,English,FALSE,0,0,0,1,7,No,29.98,22
"Tableau for Beginners: Get CA Certified, Grow Your Career",4.5,5,0.5,13276,Business,Business Analytics & Intelligence,Tableau,Lukas Halim,English,FALSE,0,46,0,6,96,No,49.98,22
Microsoft Excel - Master Excel Basics,5,5,0.5,1,Teaching & Academics,Online Education,Excel,Ahmad Joseph,English,FALSE,0,0,0,0.5,0,No,128.98,22
Production & Photographic Makeup,5,5,0.5,2,Lifestyle,Beauty & Makeup,Makeup Artistry,Sandra Megit,English,FALSE,0,0,0,5,0,No,128.98,22
Advanced topics in SV Verification Methodology (VMM/Pre-UVM),0,0,0,0,IT & Software,Hardware,SystemVerilog,Srinivasan Venkataramanan,English,FALSE,0,0,0,1,0,No,78.98,22
Unity Space Shooter Game Development tutorial using C#,4.9,5,0.5,8,Development,Game Development,3D Game Development,Aqsa Nadeem,English,FALSE,0,0,0,2.5,15,No,29.98,22
Meditation - The Game Changer,4.9,5,0.5,4,Health & Fitness,Meditation,Unknown,Tracey Duke,English,FALSE,0,2,0,2.5,13,No,59.98,22
Strategic Investing: Roadmap to success,5,5,0.5,1,Finance & Accounting,Investing & Trading,Investing,Daniel Tkachenko,English,FALSE,0,0,0,0.666666667,0,No,29.98,22
Basic Good Manufacturing Practices (GMP),4.1,5,0.5,446,Business,Industry,Product Manufacturing,Ruben Alonso,English,FALSE,0,0,0,1.5,1,No,34.98,22
The Complete Hands-On Introduction to Apache Airflow,4.6,5,0.5,3415,Development,Software Engineering,Apache Airflow,Marc Lamberti,English,FALSE,0,16,0,5.5,5,Yes,59.98,22
Customer Success | How to Exceed Your Customers Expectations,4.6,5,0.5,1860,Business,Operations,Customer Success Management,Chuck Wall,English,FALSE,0,0,0,1,8,No,44.98,22
Smart Secrets to Starting-Up,0,0,0,0,Business,Entrepreneurship,Startup,Tavishi Kumar,English,FALSE,0,0,0,1,0,No,40.98,22
